YGR288W	YCR065W	YDR026C	YDR049W	YER040W	YLR228C	YJL110C	YGL254W	YGL209W	YCL066W	YJL056C	YOR140W	YDL170W	YPL248C	YCR096C	YLR098C	YCR040W	YDR310C	YHR006W	YKL020C	YFL021W	YML099C	YPR199C	YML113W	YDR421W	YDR101C	YML065W	YOR315W	YPL253C	YNL142W	YHR135C	YDR039C	YIL144W	YBL111C	YMR087W	YMR098C	YNR068C	YJR010CA	YPL216W	YNL108C	YLR048W	YJR011C	YER107C	YJR157W	YGL169W	YMR202W	YHR109W	YNL339C	YJR080C	YLL048C
0.6798362	0.9999002	0.9506955	0.5096485	1.0000000	0.7614242	0.6874560	0.0119281	0.6782963	0.5786741	1.0000000	0.6676768	0.9992982	0.7032618	0.0529338	1.0000000	0.4964034	0.6249753	1.0000000	1.0000000	0.2479963	0.9726134	1.0000000	1.0000000	1.0000000	0.0194118	0.3899960	0.6091930	0.9948841	0.6644990	0.4975050	0.9007965	0.8522938	0.7089206	0.7883536	0.3614802	0.5379441	0.2123752	0.9949294	0.3952933	0.2821500	0.0479502	0.2354677	0.5763278	0.7893828	0.2064942	0.9668464	0.3837248	0.4732152	0.6749145
0.6798362	0.9999002	0.9506955	0.5096485	1.0000000	0.7614242	0.6874560	0.0119281	0.6782963	0.5786740	1.0000000	0.6676769	0.9992982	0.7032618	0.0529338	1.0000000	0.4964034	0.6249753	1.0000000	1.0000000	0.2479963	0.9726134	1.0000000	1.0000000	1.0000000	0.0194118	0.3899960	0.6091930	0.9948841	0.6644990	0.9949033	0.4504603	0.8522938	0.7089206	0.7883536	0.3614802	0.5379441	0.2123752	0.9949294	0.3952933	0.2821500	0.0479502	0.2354677	0.5763278	0.7893828	0.2064942	0.9668464	0.3837248	0.4732152	0.6749145
0.6798362	0.9999002	0.9506955	0.5096485	1.0000000	0.7614242	0.6874560	0.0119281	0.6782963	0.5786741	1.0000000	0.6676768	0.9992982	0.7032618	0.0529338	1.0000000	0.4964034	0.6249753	1.0000000	1.0000000	0.2479963	0.9726134	1.0000000	1.0000000	1.0000000	0.0194118	0.3899960	0.6091930	0.9948841	0.6644990	0.9949033	0.9007965	0.4261474	0.7089206	0.7883536	0.3614802	0.5379441	0.2123752	0.9949294	0.3952933	0.2821500	0.0479502	0.2354677	0.5763278	0.7893828	0.2064942	0.9668464	0.3837248	0.4732152	0.6749145
0.6798362	0.9999002	0.9506955	0.5096485	1.0000000	0.7614241	0.6874560	0.0119281	0.6782963	0.5786748	1.0000000	0.6676767	0.9992982	0.7032618	0.0529338	1.0000000	0.4964034	0.6249753	1.0000000	1.0000000	0.2479963	0.9726134	1.0000000	1.0000000	1.0000000	0.0194118	0.3899960	0.6091930	0.9948841	0.6644990	0.9949033	0.9007965	0.8522938	0.3544671	0.7883539	0.3614803	0.5379441	0.2123754	0.9949294	0.3952933	0.2821500	0.0479502	0.2354677	0.5763278	0.7893828	0.2064942	0.9668464	0.3837248	0.4732152	0.6749145
0.6798362	0.9999002	0.9506955	0.5096485	1.0000000	0.7614242	0.6874560	0.0119281	0.6782963	0.5786740	1.0000000	0.6676768	0.9992982	0.7032618	0.0529338	1.0000000	0.4964034	0.6249753	1.0000000	1.0000000	0.2479963	0.9726134	1.0000000	1.0000000	1.0000000	0.0194118	0.3899960	0.6091930	0.9948841	0.6644990	0.9949033	0.9007965	0.8522938	0.7089206	0.3941863	0.3614802	0.5379441	0.2123752	0.9949294	0.3952933	0.2821500	0.0479502	0.2354677	0.5763278	0.7893828	0.2064942	0.9668464	0.3837248	0.4732152	0.6749145
0.6798362	0.9999002	0.9506955	0.5096485	1.0000000	0.7614242	0.6874560	0.0119281	0.6782963	0.5786743	1.0000000	0.6676768	0.9992982	0.7032618	0.0529338	1.0000000	0.4964034	0.6249753	1.0000000	1.0000000	0.2479963	0.9726134	1.0000000	1.0000000	1.0000000	0.0194118	0.3899960	0.6091930	0.9948841	0.6644990	0.9949033	0.9007965	0.8522938	0.7089206	0.7883537	0.1807557	0.5379441	0.2123753	0.9949294	0.3952933	0.2821500	0.0479502	0.2354677	0.5763278	0.7893828	0.2064942	0.9668464	0.3837248	0.4732152	0.6749145
0.6798362	0.9999002	0.9506955	0.5096485	1.0000000	0.7614242	0.6874560	0.0119281	0.6782963	0.5786740	1.0000000	0.6676769	0.9992982	0.7032618	0.0529338	1.0000000	0.4964034	0.6249753	1.0000000	1.0000000	0.2479963	0.9726134	1.0000000	1.0000000	1.0000000	0.0194118	0.3899960	0.6091930	0.9948841	0.6644990	0.9949033	0.9007965	0.8522938	0.7089206	0.7883536	0.3614802	0.2689724	0.2123752	0.9949294	0.3952933	0.2821500	0.0479502	0.2354677	0.5763278	0.7893828	0.2064942	0.9668464	0.3837248	0.4732152	0.6749145
0.6798362	0.9999002	0.9506955	0.5096485	1.0000000	0.7614242	0.6874560	0.0119281	0.6782963	0.5786740	1.0000000	0.6676769	0.9992982	0.7032618	0.0529338	1.0000000	0.4964034	0.6249753	1.0000000	1.0000000	0.2479963	0.9726134	1.0000000	1.0000000	1.0000000	0.0194118	0.3899960	0.6091930	0.9948841	0.6644990	0.9949033	0.9007965	0.8522938	0.7089206	0.7883536	0.3614802	0.5379441	0.1062006	0.9949294	0.3952933	0.2821500	0.0479502	0.2354677	0.5763278	0.7893828	0.2064942	0.9668464	0.3837248	0.4732152	0.6749145
0.6798362	0.9999002	0.9506955	0.5096485	1.0000000	0.7614242	0.6874560	0.0119281	0.6782963	0.5786740	1.0000000	0.6676768	0.9992982	0.7032618	0.0529338	1.0000000	0.4964034	0.6249753	1.0000000	1.0000000	0.2479963	0.9726134	1.0000000	1.0000000	1.0000000	0.0194118	0.3899960	0.6091930	0.9948841	0.6644990	0.9949033	0.9007965	0.8522938	0.7089206	0.7883536	0.3614802	0.5379441	0.2123752	0.4974892	0.3952933	0.2821500	0.0479502	0.2354677	0.5763278	0.7893828	0.2064942	0.9668464	0.3837248	0.4732152	0.6749145
0.6798362	0.9999002	0.9506955	0.5096485	1.0000000	0.7614242	0.6874560	0.0119281	0.6782963	0.5786741	1.0000000	0.6676768	0.9992982	0.7032618	0.0529338	1.0000000	0.4964034	0.6249753	1.0000000	1.0000000	0.2479963	0.9726134	1.0000000	1.0000000	1.0000000	0.0194118	0.3899960	0.6091930	0.9948841	0.6644990	0.9949033	0.9007965	0.8522938	0.7089206	0.7883536	0.3614802	0.5379441	0.2123752	0.9949294	0.1976644	0.2821500	0.0479502	0.2354677	0.5763278	0.7893828	0.2064942	0.9668464	0.3837248	0.4732152	0.6749145
0.6798362	0.9999002	0.9506955	0.5096485	1.0000000	0.7614242	0.6874560	0.0119281	0.6782963	0.5786740	1.0000000	0.6676768	0.9992982	0.7032618	0.0529338	1.0000000	0.4964034	0.6249753	1.0000000	1.0000000	0.2479963	0.9726134	1.0000000	1.0000000	1.0000000	0.0194118	0.3899960	0.6091930	0.9948841	0.6644990	0.9949033	0.9007965	0.8522938	0.7089206	0.7883536	0.3614802	0.5379441	0.2123752	0.9949294	0.3952933	0.1410757	0.0479502	0.2354677	0.5763278	0.7893828	0.2064942	0.9668464	0.3837248	0.4732152	0.6749145
0.6798362	0.9999002	0.9506955	0.5096485	1.0000000	0.7614242	0.6874560	0.0119281	0.6782963	0.5786743	1.0000000	0.6676768	0.9992982	0.7032618	0.0529338	1.0000000	0.4964034	0.6249753	1.0000000	1.0000000	0.2479963	0.9726134	1.0000000	1.0000000	1.0000000	0.0194118	0.3899960	0.6091930	0.9948841	0.6644990	0.9949033	0.9007965	0.8522938	0.7089206	0.7883537	0.3614802	0.5379441	0.2123753	0.9949294	0.3952933	0.2821500	0.0239767	0.2354677	0.5763278	0.7893828	0.2064942	0.9668464	0.3837248	0.4732152	0.6749145
