YLR183C	YCL066W	YJL056C	YCR040W	YML076C	YHR006W	YCR097W	YLR098C	YCR096C	YML113W	YOL067C	YMR019W	YLR013W	YJR147W	YFL021W	YDR310C	YOR032C	YDR463W	YJL110C	YKR034W	YOL089C	YCL067C	YDR520C	YDL170W	YDR081C	YPL193W	YOR240W	YER148W	YMR272WB	YKR035WA	YDR543C	YOL042W	YGR296W	YCR104W	YHR184W	YLL048C	YDR102C	YHR156C	YOR212W	YLR261C	YAR061W	YDR098CA	YGR020C	YLR023C	YKL137W	YPR188C	YDR099W	YER188CA	YPR054W	YOL102C
1.0000000	0.7320105	1.0000000	0.5881308	0.0908985	0.9945924	0.1009800	1.0000000	0.0895328	1.0000000	1.0000000	0.0547299	1.0000000	1.0000000	0.0268378	0.7197616	1.0000000	0.0335909	0.1429843	0.1614137	1.0000000	0.3024629	0.0142757	1.0000000	1.0000000	0.2945979	0.0000012	0.2994022	0.0640367	0.6340285	0.5941902	0.8996810	0.8138806	0.9318877	0.0335609	0.9956373	0.1419548	0.5753933	0.2640483	0.7555875	0.3381055	0.3085150	0.6679092	0.0324643	0.1110541	0.6589934	0.4123306	0.8028276	0.2111294	0.6618857
1.0000000	0.7320124	1.0000000	0.5881288	0.0908985	0.9945924	0.1009800	1.0000000	0.0895328	1.0000000	1.0000000	0.0547299	1.0000000	1.0000000	0.0268377	0.7197616	1.0000000	0.0335909	0.1430098	0.1614092	1.0000000	0.3024628	0.0142757	1.0000000	1.0000000	0.2945979	0.0959145	0.0000008	0.0640367	0.6340285	0.5941960	0.8996905	0.8138808	0.9318877	0.0335609	0.9956375	0.1419548	0.5753970	0.2640475	0.7555875	0.3381055	0.3085150	0.6679092	0.0324643	0.1110541	0.6589934	0.4123306	0.8028276	0.2111294	0.6618857
1.0000000	0.7320105	1.0000000	0.5881308	0.0908985	0.9945924	0.1009800	1.0000000	0.0895328	1.0000000	1.0000000	0.0547299	1.0000000	1.0000000	0.0268378	0.7197616	1.0000000	0.0335909	0.1429843	0.1614137	1.0000000	0.3024629	0.0142757	1.0000000	1.0000000	0.2945979	0.0959145	0.2994022	0.0000027	0.6340285	0.5941902	0.8996810	0.8138806	0.9318877	0.0335609	0.9956373	0.1419548	0.5753933	0.2640483	0.7555875	0.3381055	0.3085150	0.6679092	0.0324643	0.1110541	0.6589934	0.4123306	0.8028276	0.2111294	0.6618857
1.0000000	0.7320190	1.0000000	0.5881430	0.0908985	0.9945924	0.1009800	1.0000000	0.0895328	1.0000000	1.0000000	0.0547299	1.0000000	1.0000000	0.0268378	0.7197616	1.0000000	0.0335909	0.1429919	0.1614257	1.0000000	0.3024637	0.0142757	1.0000000	1.0000000	0.2945979	0.0959145	0.2994022	0.0640367	0.0000000	0.5941833	0.8996842	0.8138785	0.9318877	0.0335609	0.9956356	0.1419548	0.5753945	0.2640483	0.7555875	0.3381055	0.3085150	0.6679092	0.0324643	0.1110541	0.6589934	0.4123306	0.8028276	0.2111294	0.6618857
1.0000000	0.7320131	1.0000000	0.5881323	0.0908985	0.9945924	0.1009800	1.0000000	0.0895328	1.0000000	1.0000000	0.0547299	1.0000000	1.0000000	0.0268378	0.7197616	1.0000000	0.0335909	0.1429978	0.1614139	1.0000000	0.3024630	0.0142757	1.0000000	1.0000000	0.2945979	0.0959145	0.2994022	0.0640367	0.6340285	0.0000033	0.8996861	0.8138803	0.9318877	0.0335609	0.9956371	0.1419548	0.5753953	0.2640479	0.7555875	0.3381055	0.3085150	0.6679092	0.0324643	0.1110541	0.6589934	0.4123306	0.8028276	0.2111294	0.6618857
1.0000000	0.7320177	1.0000000	0.5881380	0.0908985	0.9945924	0.1009800	1.0000000	0.0895328	1.0000000	1.0000000	0.0547299	1.0000000	1.0000000	0.0268378	0.7197616	1.0000000	0.0335909	0.1430063	0.1614191	1.0000000	0.3024634	0.0142757	1.0000000	1.0000000	0.2945979	0.0959145	0.2994022	0.0640367	0.6340285	0.5941892	0.0000000	0.8138793	0.9318877	0.0335609	0.9956363	0.1419548	0.5753966	0.2640478	0.7555875	0.3381055	0.3085150	0.6679092	0.0324643	0.1110541	0.6589934	0.4123306	0.8028276	0.2111294	0.6618857
1.0000000	0.7320124	1.0000000	0.5881288	0.0908985	0.9945924	0.1009800	1.0000000	0.0895328	1.0000000	1.0000000	0.0547299	1.0000000	1.0000000	0.0268377	0.7197616	1.0000000	0.0335909	0.1430098	0.1614092	1.0000000	0.3024628	0.0142757	1.0000000	1.0000000	0.2945979	0.0959145	0.2994022	0.0640367	0.6340285	0.5941960	0.8996905	0.0000001	0.9318877	0.0335609	0.9956375	0.1419548	0.5753970	0.2640475	0.7555875	0.3381055	0.3085150	0.6679092	0.0324643	0.1110541	0.6589934	0.4123306	0.8028276	0.2111294	0.6618857
1.0000000	0.7320177	1.0000000	0.5881380	0.0908985	0.9945924	0.1009800	1.0000000	0.0895328	1.0000000	1.0000000	0.0547299	1.0000000	1.0000000	0.0268378	0.7197616	1.0000000	0.0335909	0.1430063	0.1614191	1.0000000	0.3024634	0.0142757	1.0000000	1.0000000	0.2945979	0.0959145	0.2994022	0.0640367	0.6340285	0.5941892	0.8996894	0.8138793	0.0000005	0.0335609	0.9956363	0.1419548	0.5753966	0.2640478	0.7555875	0.3381055	0.3085150	0.6679092	0.0324643	0.1110541	0.6589934	0.4123306	0.8028276	0.2111294	0.6618857
1.0000000	0.7320084	1.0000000	0.5881251	0.0908985	0.9945924	0.1009800	1.0000000	0.0895328	1.0000000	1.0000000	0.0547299	1.0000000	1.0000000	0.0268378	0.7197616	1.0000000	0.0335909	0.1429958	0.1614067	1.0000000	0.3024626	0.0142757	1.0000000	1.0000000	0.2945979	0.0959145	0.2994022	0.0640367	0.6340285	0.5941960	0.8996852	0.8138815	0.9318877	0.0000001	0.9956380	0.1419548	0.5753949	0.2640479	0.7555875	0.3381055	0.3085150	0.6679092	0.0324643	0.1110541	0.6589934	0.4123306	0.8028276	0.2111294	0.6618857
1.0000000	0.7320124	1.0000000	0.5881288	0.0908985	0.9945924	0.1009800	1.0000000	0.0895328	1.0000000	1.0000000	0.0547299	1.0000000	1.0000000	0.0268377	0.7197616	1.0000000	0.0335909	0.1430098	0.1614092	1.0000000	0.3024628	0.0142757	1.0000000	1.0000000	0.2945979	0.0959145	0.2994022	0.0640367	0.6340285	0.5941960	0.8996905	0.8138808	0.9318877	0.0335609	0.0000001	0.1419548	0.5753970	0.2640475	0.7555875	0.3381055	0.3085150	0.6679092	0.0324643	0.1110541	0.6589934	0.4123306	0.8028276	0.2111294	0.6618857
1.0000000	0.7320105	1.0000000	0.5881308	0.0908985	0.9945924	0.1009800	1.0000000	0.0895328	1.0000000	1.0000000	0.0547299	1.0000000	1.0000000	0.0268378	0.7197616	1.0000000	0.0335909	0.1429843	0.1614137	1.0000000	0.3024629	0.0142757	1.0000000	1.0000000	0.2945979	0.0959145	0.2994022	0.0640367	0.6340285	0.5941902	0.8996810	0.8138806	0.9318877	0.0335609	0.9956373	0.0000000	0.5753933	0.2640483	0.7555875	0.3381055	0.3085150	0.6679092	0.0324643	0.1110541	0.6589934	0.4123306	0.8028276	0.2111294	0.6618857
1.0000000	0.7320154	1.0000000	0.5881357	0.0908985	0.9945924	0.1009800	1.0000000	0.0895328	1.0000000	1.0000000	0.0547299	1.0000000	1.0000000	0.0268378	0.7197616	1.0000000	0.0335909	0.1429990	0.1614174	1.0000000	0.3024632	0.0142757	1.0000000	1.0000000	0.2945979	0.0959145	0.2994022	0.0640367	0.6340285	0.5941894	0.8996867	0.8138797	0.9318877	0.0335609	0.9956366	0.1419548	0.0000000	0.2640480	0.7555875	0.3381055	0.3085150	0.6679092	0.0324643	0.1110541	0.6589934	0.4123306	0.8028276	0.2111294	0.6618857
1.0000000	0.7320105	1.0000000	0.5881308	0.0908985	0.9945924	0.1009800	1.0000000	0.0895328	1.0000000	1.0000000	0.0547299	1.0000000	1.0000000	0.0268378	0.7197616	1.0000000	0.0335909	0.1429843	0.1614137	1.0000000	0.3024629	0.0142757	1.0000000	1.0000000	0.2945979	0.0959145	0.2994022	0.0640367	0.6340285	0.5941902	0.8996810	0.8138806	0.9318877	0.0335609	0.9956373	0.1419548	0.5753933	0.0000001	0.7555875	0.3381055	0.3085150	0.6679092	0.0324643	0.1110541	0.6589934	0.4123306	0.8028276	0.2111294	0.6618857
1.0000000	0.7320177	1.0000000	0.5881380	0.0908985	0.9945924	0.1009800	1.0000000	0.0895328	1.0000000	1.0000000	0.0547299	1.0000000	1.0000000	0.0268378	0.7197616	1.0000000	0.0335909	0.1430063	0.1614191	1.0000000	0.3024634	0.0142757	1.0000000	1.0000000	0.2945979	0.0959145	0.2994022	0.0640367	0.6340285	0.5941892	0.8996894	0.8138793	0.9318877	0.0335609	0.9956363	0.1419548	0.5753966	0.2640478	0.0000003	0.3381055	0.3085150	0.6679092	0.0324643	0.1110541	0.6589934	0.4123306	0.8028276	0.2111294	0.6618857
1.0000000	0.7320124	1.0000000	0.5881288	0.0908985	0.9945924	0.1009800	1.0000000	0.0895328	1.0000000	1.0000000	0.0547299	1.0000000	1.0000000	0.0268377	0.7197616	1.0000000	0.0335909	0.1430098	0.1614092	1.0000000	0.3024628	0.0142757	1.0000000	1.0000000	0.2945979	0.0959145	0.2994022	0.0640367	0.6340285	0.5941960	0.8996905	0.8138808	0.9318877	0.0335609	0.9956375	0.1419548	0.5753970	0.2640475	0.7555875	0.0000001	0.3085150	0.6679092	0.0324643	0.1110541	0.6589934	0.4123306	0.8028276	0.2111294	0.6618857
1.0000000	0.7320084	1.0000000	0.5881251	0.0908985	0.9945924	0.1009800	1.0000000	0.0895328	1.0000000	1.0000000	0.0547299	1.0000000	1.0000000	0.0268378	0.7197616	1.0000000	0.0335909	0.1429958	0.1614067	1.0000000	0.3024626	0.0142757	1.0000000	1.0000000	0.2945979	0.0959145	0.2994022	0.0640367	0.6340285	0.5941960	0.8996852	0.8138815	0.9318877	0.0335609	0.9956380	0.1419548	0.5753949	0.2640479	0.7555875	0.3381055	0.0000010	0.6679092	0.0324643	0.1110541	0.6589934	0.4123306	0.8028276	0.2111294	0.6618857
1.0000000	0.7320105	1.0000000	0.5881308	0.0908985	0.9945924	0.1009800	1.0000000	0.0895328	1.0000000	1.0000000	0.0547299	1.0000000	1.0000000	0.0268378	0.7197616	1.0000000	0.0335909	0.1429843	0.1614137	1.0000000	0.3024629	0.0142757	1.0000000	1.0000000	0.2945979	0.0959145	0.2994022	0.0640367	0.6340285	0.5941902	0.8996810	0.8138806	0.9318877	0.0335609	0.9956373	0.1419548	0.5753933	0.2640483	0.7555875	0.3381055	0.3085150	0.0000006	0.0324643	0.1110541	0.6589934	0.4123306	0.8028276	0.2111294	0.6618857
